DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber
31-Jul-2021,43,11,13,19,12,58,48,6,Guinevere,2672
28-Jul-2021,34,44,23,26,59,36,43,6,Guinevere,2671
24-Jul-2021,7,6,37,34,28,17,59,5,Guinevere,2670
21-Jul-2021,20,5,37,17,51,45,29,5,Guinevere,2669
17-Jul-2021,35,48,56,33,3,25,1,8,Lancelot,2668
14-Jul-2021,12,35,41,36,29,27,51,8,Lancelot,2667
10-Jul-2021,33,47,9,54,22,19,1,7,Lancelot,2666
07-Jul-2021,40,3,52,2,7,20,14,7,Lancelot,2665
03-Jul-2021,1,31,47,29,12,27,23,6,Guinevere,2664
30-Jun-2021,41,34,38,12,40,27,32,6,Guinevere,2663
26-Jun-2021,24,37,53,41,39,14,19,5,Guinevere,2662
23-Jun-2021,14,53,50,15,33,4,16,5,Guinevere,2661
19-Jun-2021,38,12,18,21,54,44,14,4,Lancelot,2660
16-Jun-2021,48,22,36,28,6,53,13,4,Lancelot,2659
12-Jun-2021,11,36,27,16,52,9,50,3,Lancelot,2658
09-Jun-2021,24,15,43,49,9,34,32,3,Lancelot,2657
05-Jun-2021,3,6,57,39,46,33,17,2,Guinevere,2656
02-Jun-2021,15,17,53,59,33,1,41,2,Guinevere,2655
29-May-2021,10,55,46,36,1,16,44,1,Guinevere,2654
26-May-2021,33,51,49,36,28,45,48,1,Guinevere,2653
22-May-2021,9,20,41,46,43,48,7,4,Lancelot,2652
19-May-2021,57,50,58,36,53,18,22,4,Lancelot,2651
15-May-2021,57,32,27,19,39,6,50,3,Lancelot,2650
12-May-2021,17,40,51,23,52,10,20,3,Lancelot,2649
08-May-2021,46,31,12,23,10,37,15,2,Guinevere,2648
05-May-2021,56,27,40,55,8,34,43,2,Guinevere,2647
01-May-2021,7,40,31,34,32,10,14,1,Guinevere,2646
28-Apr-2021,59,4,48,1,57,27,5,1,Guinevere,2645
24-Apr-2021,29,16,38,32,30,24,1,4,Lancelot,2644
21-Apr-2021,39,4,34,32,6,14,46,4,Lancelot,2643
17-Apr-2021,18,7,23,57,8,21,4,3,Lancelot,2642
14-Apr-2021,48,57,12,20,6,52,34,3,Lancelot,2641
10-Apr-2021,50,20,26,48,49,25,30,2,Guinevere,2640
07-Apr-2021,51,40,57,12,38,58,29,2,Guinevere,2639
03-Apr-2021,40,32,45,8,2,28,5,1,Guinevere,2638
31-Mar-2021,6,58,4,49,56,13,12,1,Guinevere,2637
27-Mar-2021,18,22,26,49,5,3,29,11,Lancelot,2636
24-Mar-2021,23,50,40,2,3,27,30,11,Lancelot,2635
20-Mar-2021,12,36,24,34,51,15,21,10,Lancelot,2634
17-Mar-2021,28,26,36,58,16,7,9,10,Lancelot,2633
13-Mar-2021,8,29,6,17,11,44,20,9,Guinevere,2632
10-Mar-2021,26,42,21,5,1,9,17,9,Guinevere,2631
06-Mar-2021,47,29,16,17,52,56,15,11,Guinevere,2630
03-Mar-2021,2,54,40,23,3,8,52,11,Guinevere,2629
27-Feb-2021,4,49,45,33,39,36,20,10,Lancelot,2628
24-Feb-2021,1,34,17,9,18,16,13,10,Lancelot,2627
20-Feb-2021,36,3,18,56,24,16,10,9,Lancelot,2626
17-Feb-2021,39,6,8,26,5,20,1,9,Lancelot,2625
13-Feb-2021,42,50,37,44,16,15,48,11,Guinevere,2624
10-Feb-2021,29,1,33,15,49,42,54,11,Guinevere,2623
06-Feb-2021,27,32,46,28,39,52,6,10,Guinevere,2622
